id_pergunta,perfil,pergunta,resposta,gabarito;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"P1-03,1,""Faz três dias que ele não vai no banheiro direito, é grave?"",""Entendo sua preocupação, é natural se preocupar quando o paciente não vai ao banheiro como de costume.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O intestino preso, ou preguiçoso, é uma situação comum e pode trazer alguns desconfortos. Pode dificultar a higiene, causar assaduras e até feridas na pele. O ideal é que a pessoa consiga evacuar uma vez ao dia, de preferência antes do banho.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Embora nem sempre seja possível que o intestino volte a funcionar normalmente, podemos """"treiná-lo"""" para trabalhar em um horário determinado. Para isso, você pode seguir estes passos:";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Faça a massagem abdominal diariamente, um pouco antes do horário programado para a evacuação (o ideal é antes do banho).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2. A massagem é feita começando do lado direito e inferior da barriga do paciente, em movimentos circulares, percorrendo todo o contorno do abdome, como se ele fosse um quadrado, até a região inferior esquerda do paciente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. Se for possível, dobrar as pernas do paciente sobre a barriga também ajuda a estimular a evacuação e a eliminar gases.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Você quer saber mais sobre: Massagem abdominal para o intestino, Como estimular a eliminação de gases ou Como prevenir assaduras e feridas? Basta me dizer qual assunto tem interesse."",""O intestino preso ou preguiçoso também é comum. Isto torna difícil para o doente permanecer limpo, o que, além de inconveniente e embaraçoso, também pode causar assaduras e feridas (escaras). O ideal é que o paciente consiga evacuar uma vez ao dia, antes do banho.Embora a recuperação do controle normal do funcionamento do intestino não seja possível para a maioria dos pacientes, podemos """"treinar"""" o intestino para trabalhar em determinada hora do dia. O programa de treinamento do cólon inclui os seguintes passos: ! Faça a massagem abdominal diariamente, um pouco antes do horário programado para a evacuação (de preferência antes do banho)"; ! A massagem abdominal é feita começando do lado direito e inferior da barriga do paciente, em movimentos circulares, percorrendo todo o contorno do abdome, como se ele fosse um quadrado, até a região inferior esquerda do paciente; movimentos de flexão (dobrar) as pernas sobre a barriga,se possível, também ajudam no estímulo da defecação e na eliminação de gazes;" !""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"P1-04,1,""Eu tô muito cansada, não aguento mais cuidar dele sozinha, isso é normal?"",""Entendo perfeitamente o que você está sentindo. É muito comum e normal que cuidadores como você se sintam exaustos e sobrecarregados. Cuidar de alguém sozinho é uma tarefa que exige muita energia, tanto física quanto emocional, e pode levar a um cansaço contínuo.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nossos manuais mostram que a exaustão é um dos desafios mais frequentes para quem cuida, especialmente quando há dificuldades de comunicação ou a necessidade de atenção constante. É importante lembrar que cuidar de você mesma é fundamental para conseguir continuar cuidando de quem precisa do seu apoio.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Para aliviar esse peso, é muito importante buscar ajuda. Você pode:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.  Pedir apoio a familiares, amigos ou vizinhos para ter um tempo para você.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.  Participar de grupos de apoio e partilha, onde você pode encontrar outras pessoas que vivem situações parecidas e trocar experiências.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.  Conversar com um psicólogo, que pode te ajudar a encontrar estratégias para lidar com o estresse e a sobrecarga.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Você quer saber mais sobre: Sinais de esgotamento do cuidador, Como pedir ajuda ou A importância de cuidar de si mesmo? Basta me dizer qual assunto tem interesse."",""Quando a pessoa com demência deixa de reconhecer a pessoa cuidadora e, por vezes, tem comportamentos agressivos ou desajustados, podemos ter a sensação de que a pessoa que conhecemos já não existe. Esta situação pode deixar-nos tristes e implicar o início de um processo de luto, ainda antes da pessoa falecer. Stresse e hipervigilância por ter de controlar constantemente situações de perigo. Quando a demência se agrava, pode ser necessário manter uma atenção constante aos comportamentos da pessoa – por exemplo, se ingere algo perigoso, se sai de casa sozinha e se perde, se liga o fogão e não desliga, se utiliza indevidamente algum objeto cortante. Esta situação pode ser física e emocionalmente desgastante, assim como limitar o descanso da pessoa cuidadora, aumentando o risco de exaustão. Exaustão, devido às dificuldades de comunicação. Podemos ter as mesmas conversas várias vezes ao dia com a pessoa ou repetir-nos exaustivamente para tentar dar orientações, mas, devido às dificuldades em reter informação, a comunicação fica comprometida. Estas repetições constantes, apesar de fazerem parte do quadro da doença, podem causar muito cansaço emocional. Frustração, por não conseguir acalmar a pessoa. Em momentos de maior agitação e confusão (por exemplo, quando a pessoa não nos reconhece e quer fugir de casa), os esforços que fazemos para chamar a pessoa à razão parecem não resultar e podem deixar-nos frustrados/as. Podemos acabar por tomar medidas com as quais nem concordamos, mas que nos parecem a única solução para manter a pessoa em segurança (por exemplo, trancar as portas e as janelas). Zanga, perante certos comportamentos. Quando a pessoa com demência tem comportamentos que parecem complicar mais a situação (por exemplo, entornar comida, cortar cabos, passar a noite acordado/a, tentar fugir de casa), podemos sentir-nos zangados/as e impotentes, mesmo sabendo que a pessoa não pode ser responsabilizada. ”Presos/as” ao papel de cuidador ou cuidadora. Com o agravar da doença, a pessoa cuidada fica cada vez mais dependente e podemos ser forçados/as a deixar de trabalhar ou a abandonar outras atividades e relações, sentindo também uma perda da nossa identidade anterior para além do papel de pessoa cuidadora. Por outro lado, as cuidadoras e os cuidadores informais de pessoas com demência podem sentir satisfação por desempenharem um papel importante na vida da pessoa cuidada. Também podemos sentir que estamos a retribuir o cuidado que a pessoa nos deu anteriormente ou sentir gratificação por, apesar da doença, vermos a pessoa tranquila e feliz. Cuidar de alguém que vai se esquecendo de quem é pode mudar a maneira como vemos o mundo. Podemos começar a dar maior importância à Saúde e a momentos que vivemos com familiares e amigos e amigas. Podemos sentir-nos mais resilientes e sentir maior compaixão para com outras pessoas que vivem situações semelhantes. | 32 ANIGÁP | SIAMROFNI SERODADIUC SOD ODADIUCOTUA ERBOS RALAF SOMAV ENQUANTO CUIDADORES E CUIDADORAS, É IMPORTANTE LEMBRARMO-NOS QUE: Um psicólogo ou uma psicóloga pode ajudar-nos a descobrir e a treinar estratégias para acalmar a pessoa quando esta está agitada e confusa. Podemos participar em grupos de apoio e partilha (por exemplo, o Café Memória) onde podemos encontrar apoio emocional e trocar experiências com pessoas que vivem situações semelhantes à nossa. A ajuda de familiares, amigos, amigas, vizinhos e vizinhas e profissionais (assistentes pessoais) pode assegurar alguma autonomia à pessoa cuidada, evitar a nossa sobrecarga e permitirnos ter mais tempo para nós. PORQUE É IMPORTANTE CUIDAR DE MIM? 0 3 VOLTAR AO ÍNDICE Cuidar de nós é fundamental para conseguirmos cuidar de alguém que precisa do nosso apoio. Cuidar de nós significa mantermos a capacidade e a disponibilidade, física e emocional, que são necessárias para cuidarmos de outra pessoa.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
